         9752559 function calls (9703528 primitive calls) in 40.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\format.py:1976(_trim_zeros_float)
        3    0.000    0.000    0.016    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_histogram.py:2437(__init__)
      281    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_platform_int}
      207    0.000    0.000    0.000    0.000 C:\Python38\lib\subprocess.py:1058(_remaining_time)
        3    0.000    0.000    0.006    0.002 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\polar\_angularaxis.py:1645(__init__)
      203    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:249(match)
       19    0.000    0.000    0.045    0.002 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\algorithms\base\genetic.py:82(_infill)
      412    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\individual.py:96(G)
       23    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
        2    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\format.py:1362(_format_strings)
       42    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\inference.py:266(is_dict_like)
       48    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\managers.py:1445(_insert_update_mgr_locs)
       93    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\series.py:596(dtype)
       23    0.000    0.000    0.000    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\ccxtools.py:293(set_inp_file_name)
       15    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\nanops.py:119(f)
       29    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\mutation.py:42(get_prob_var)
       23    0.000    0.000    0.642    0.028 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:863(calculate_disp_abs)
      198    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:160(__len__)
       32    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\missing.py:460(array_equivalent)
       13    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\frame.py:4892(_sanitize_column)
       95    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\lib\function_base.py:346(iterable)
    29/21    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_compile.py:461(_get_literal_prefix)
        3    0.000    0.000    0.015    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scattergl.py:2279(__init__)
       73    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       20    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\theeng\core\sampler.py:91(<listcomp>)
       23    0.000    0.000    0.000    0.000 {built-in method stop}
        3    0.000    0.000    0.003    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_pie.py:1824(__init__)
       43    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(vstack)
      283    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\lib\stride_tricks.py:345(<genexpr>)
        8    0.000    0.000    0.008    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:2602(_perform_plotly_relayout)
       77    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexes\range.py:353(dtype)
       69    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
       20    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\theeng\core\optimizer.py:163(notify)
       16    0.000    0.000    0.017    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:5574(to_plotly_json)
       58    0.000    0.000    0.000    0.000 {built-in method math.ceil}
      342    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       32    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\format.py:1383(_format)
        3    0.000    0.000    0.012    0.004 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_heatmapgl.py:1629(__init__)
       10    0.000    0.000    0.003    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\generic.py:3873(_take)
       23    0.000    0.000    0.000    0.000 {method 'baseName' of 'PySide2.QtCore.QFileInfo' objects}
       58    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(reshape)
      448    0.000    0.000    0.000    0.000 C:\Python38\lib\inspect.py:2551(kind)
       50    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
      210    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\_param_validation.py:226(__init__)
        3    0.000    0.000    0.007    0.002 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\ternary\_caxis.py:1461(__init__)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\coloraxis\_colorbar.py:1650(__init__)
       14    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\blocks.py:861(take_nd)
      412    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\individual.py:104(H)
        1    0.000    0.000    0.001    0.001 c:\Virtual_Environments\theeng\lib\site-packages\scipy\stats\_qmc.py:1237(_random_lhs)
        3    0.000    0.000    0.027    0.009 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scatter3d.py:2158(__init__)
      128    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:286(tell)
        6    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\_param_validation.py:434(__contains__)
        3    0.000    0.000    0.007    0.002 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:2097(add_traces)
        3    0.000    0.000    0.015    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scatterpolar.py:1885(__init__)
        4    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\managers.py:2361(_merge_blocks)
       22    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\array_algos\take.py:57(take_nd)
        3    0.000    0.000    0.006    0.002 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\ternary\_baxis.py:1461(__init__)
      142    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFCD67B810}
       46    0.000    0.000    0.000    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femsolver\calculix\write_femelement_material.py:37(is_density_needed)
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_legend.py:1(<module>)
        1    0.000    0.000   29.520   29.520 c:\Virtual_Environments\theeng\lib\site-packages\theeng\core\sampler.py:21(sample)
        3    0.000    0.000    0.010    0.003 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_contourcarpet.py:1876(__init__)
       58    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\fromnumeric.py:198(reshape)
       18    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\util\ref_dirs\misc.py:38(project_onto_sum_equals_one_plane)
        3    0.000    0.000    0.000    0.000 C:\Python38\lib\pathlib.py:64(parse_parts)
        3    0.000    0.000    0.668    0.223 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:2743(validate_coerce)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\histogram2d\_colorbar.py:1648(__init__)
      147    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\generic.py:550(_get_axis_number)
        5    0.000    0.000    0.021    0.004 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\model_selection\_validation.py:531(_fit_and_score)
       16    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\nanops.py:1453(_maybe_null_out)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\contourcarpet\_colorbar.py:1649(__init__)
        3    0.000    0.000    0.016    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scatterpolargl.py:1805(__init__)
       27    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexes\api.py:384(default_index)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\histogram2dcontour\_colorbar.py:1651(__init__)
        2    0.000    0.000    0.006    0.003 c:\Virtual_Environments\theeng\lib\site-packages\plotly\express\_core.py:1706(infer_config)
      175    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:1295(numbers_allowed)
        1    0.000    0.000    0.934    0.934 c:\Virtual_Environments\theeng\lib\site-packages\plotly\express\_chart_types.py:12(scatter)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scattergeo\marker\_colorbar.py:1651(__init__)
       38    0.000    0.000    0.000    0.000 C:\Python38\lib\os.py:740(encodekey)
       12    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\lib\function_base.py:562(asarray_chkfinite)
        3    0.000    0.000    0.021    0.007 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_barpolar.py:1490(__init__)
       69    0.000    0.000    0.000    0.000 C:\Python38\lib\codecs.py:260(__init__)
       64    0.000    0.000    0.003    0.000 C:\Python38\lib\inspect.py:3103(signature)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\heatmapgl\_colorbar.py:1647(__init__)
       12    0.000    0.000    0.007    0.001 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\pipeline.py:883(_fit_transform_one)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scatter3d\marker\_colorbar.py:1650(__init__)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\surface\_colorbar.py:1648(__init__)
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_xaxis.py:5(XAxis)
        3    0.000    0.000    0.005    0.002 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\parcoords\line\_colorbar.py:1649(__init__)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scatterternary\marker\_colorbar.py:1652(__init__)
        4    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\frame.py:10773(_reduce)
        3    0.000    0.000    0.016    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scatterternary.py:1857(__init__)
       43    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\shape_base.py:218(_vhstack_dispatcher)
      138    0.000    0.000    0.000    0.000 C:\Python38\lib\threading.py:1071(is_alive)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\heatmap\_colorbar.py:1648(__init__)
       29    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\numeric.py:632(flatnonzero)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scattercarpet\marker\_colorbar.py:1651(__init__)
        3    0.000    0.000    0.006    0.002 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\ternary\_aaxis.py:1461(__init__)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\contour\_colorbar.py:1648(__init__)
      256    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexes\base.py:5090(_values)
       29    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexes\base.py:5116(_get_engine_target)
        3    0.000    0.000    0.010    0.003 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_choropleth.py:1755(__init__)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\mesh3d\_colorbar.py:1648(__init__)
       95    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\lib\stride_tricks.py:25(_maybe_view_as_subclass)
       94    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.016    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scattercarpet.py:1785(__init__)
       19    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\numeric.py:2199(allclose)
        6    0.000    0.000    0.009    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\io\_json.py:60(to_json_plotly)
       92    0.000    0.000    0.000    0.000 C:\Python38\lib\platform.py:747(uname)
      288    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.226    0.075 c:\Virtual_Environments\theeng\lib\site-packages\plotly\express\_core.py:2283(init_figure)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scatterpolargl\marker\_colorbar.py:1652(__init__)
       11    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\cast.py:1178(maybe_infer_to_datetimelike)
       49    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\util\misc.py:215(at_least_2d_array)
       20    0.000    0.000    0.046    0.002 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\algorithm.py:178(infill)
       19    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\validation.py:383(check_consistent_length)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scatterpolar\marker\_colorbar.py:1651(__init__)
       20    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\__init__.py:285(_safe_indexing)
      436    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_pie.py:5(Pie)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\choropleth\_colorbar.py:1647(__init__)
      103    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\validators\layout\xaxis\_linecolor.py:4(LinecolorValidator)
       30    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\scipy\sparse\_sputils.py:238(isshape)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scattermapbox\marker\_colorbar.py:1651(__init__)
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_yaxis.py:5(YAxis)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scattergl\marker\_colorbar.py:1650(__init__)
        3    0.000    0.000    0.016    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scattergeo.py:1815(__init__)
       80    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\format.py:435(justify)
        4    0.000    0.000    0.227    0.057 C:\Python38\lib\pkgutil.py:597(get_data)
       80    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\printing.py:62(justify)
        2    0.000    0.000    0.010    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\express\_core.py:1279(build_dataframe)
        3    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\scatter3d\line\_colorbar.py:1649(__init__)
       21    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_parse.py:224(__init__)
        3    0.000    0.000    0.015    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_scattermapbox.py:1686(__init__)
      126    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\base.py:56(<genexpr>)
       18    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\base.py:573(_validate_params)
        6    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\joblib\parallel.py:89(get_active_backend)
       20    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\problem.py:379(default_shape)
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\validators\parcoords\line\colorbar\_outlinewidth.py:4(OutlinewidthValidator)
       12    0.000    0.000    0.011    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:2851(plotly_update)
        3    0.000    0.000    0.024    0.008 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_carpet.py:1536(__init__)
       12    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\scipy\_lib\_util.py:206(_asarray_validated)
      105    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\common.py:362(apply_if_callable)
       91    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\_methods.py:43(_amin)
        1    0.000    0.000    0.077    0.077 c:\Virtual_Environments\theeng\lib\site-packages\theeng\algorithms\visualizations.py:32(parallelCoordinate)
       39    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexing.py:1539(_validate_integer)
        6    0.000    0.000    0.966    0.161 <frozen importlib._bootstrap_external>:1164(create_module)
       22    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\generic.py:5959(_protect_consolidate)
       10    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\generic.py:6076(astype)
       51    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ravel)
        6    0.000    0.000    0.009    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\io\_templates.py:66(__getitem__)
       94    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexes\base.py:870(_reset_identity)
       18    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexing.py:864(_validate_tuple_indexer)
       41    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\common.py:790(is_unsigned_integer_dtype)
      120    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\common.py:1420(is_1d_only_ea_dtype)
       31    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       31    0.000    0.000    0.000    0.000 C:\Python38\lib\sre_compile.py:249(_compile_charset)
       22    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\lib\function_base.py:5444(append)
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\util\normalization.py:41(__init__)
        6    0.000    0.000    0.043    0.007 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_scene.py:1541(__init__)
        6    0.000    0.000    0.004    0.001 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\linear_model\_base.py:294(_rescale_data)
        6    0.000    0.000    0.008    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_shape.py:765(__init__)
       21    0.000    0.000    0.002    0.000 C:\Python38\lib\sre_compile.py:598(_code)
       15    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\nanops.py:1030(reduction)
       36    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexing.py:1448(_validate_key)
       31    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\managers.py:1854(_consolidate_check)
      157    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       15    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\cast.py:120(maybe_convert_platform)
      129    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\inference.py:292(<genexpr>)
      207    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
      128    0.000    0.000    0.000    0.000 C:\Python38\lib\inspect.py:158(isfunction)
      203    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\variable.py:24(get)
       18    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\extmath.py:937(_safe_accumulator_op)
      230    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\fromnumeric.py:2950(_prod_dispatcher)
       18    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexing.py:1524(_is_scalar_access)
       11    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\managers.py:1455(_insert_update_blklocs_and_blknos)
       12    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\express\_core.py:1067(to_unindexed_series)
      175    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\fromnumeric.py:2328(_any_dispatcher)
       64    0.000    0.000    0.003    0.000 C:\Python38\lib\inspect.py:2851(from_callable)
       54    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\base.py:46(__len__)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    20/19    0.000    0.000    0.040    0.002 c:\Virtual_Environments\theeng\lib\site-packages\pandas\util\_decorators.py:323(wrapper)
       10    0.000    0.000    0.000    0.000 C:\Python38\lib\functools.py:34(update_wrapper)
      188    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:1427(<lambda>)
      217    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\multiarray.py:1392(may_share_memory)
        6    0.000    0.000    0.031    0.005 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_ternary.py:926(__init__)
       66    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\_param_validation.py:74(<listcomp>)
        6    0.000    0.000    0.022    0.004 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_polar.py:939(__init__)
        1    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\problem.py:62(__init__)
      3/1    0.000    0.000    0.429    0.429 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\util\reference_direction.py:39(do)
        3    0.000    0.000    1.397    0.466 c:\Virtual_Environments\theeng\lib\site-packages\theeng\core\visualization.py:13(plot)
        6    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\preprocessing\_polynomial.py:234(fit)
       12    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:955(__init__)
       21    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\format.py:481(get_adjustment)
       21    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexing.py:2488(convert_to_index_sliceable)
      203    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\multiarray.py:152(concatenate)
        2    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\express\_core.py:989(_get_reserved_col_names)
        3    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\managers.py:572(_combine)
       20    0.000    0.000    0.007    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\format.py:1358(get_result)
        5    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\validators\_data.py:5(__init__)
       16    0.000    0.000    0.001    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\io\formats\format.py:1990(should_trim)
       69    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        6    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\indexes\base.py:4318(reindex)
        8    0.000    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\generic.py:6045(dtypes)
       20    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\util\nds\non_dominated_sorting.py:9(__init__)
      200    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\individual.py:92(F)
       52    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\dtypes\inference.py:363(is_sequence)
       16    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\internals\managers.py:1061(from_blocks)
       20    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\problem.py:12(__init__)
       90    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\scipy\sparse\_sputils.py:308(<genexpr>)
        4    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\numerictypes.py:573(_can_coerce_all)
       79    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\_methods.py:47(_sum)
        3    0.000    0.000    0.031    0.010 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\_table.py:881(__init__)
       38    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:1037(validate_coerce)
        7    0.000    0.000    0.005    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\graph_objs\layout\_colorscale.py:169(__init__)
        1    0.000    0.000    0.001    0.001 c:\Virtual_Environments\theeng\lib\site-packages\plotly\express\_core.py:279(<listcomp>)
       24    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pandas\core\apply.py:1016(series_generator)
        4    0.000    0.000    0.000    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\basevalidators.py:1961(__init__)
