         9752559 function calls (9703528 primitive calls) in 40.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   233661    0.029    0.000    0.029    0.000 {method 'get' of 'dict' objects}
145366/145254    0.028    0.000    0.037    0.000 {built-in method builtins.isinstance}
      235    0.028    0.000    0.029    0.000 {built-in method io.open}
       23    0.027    0.001    0.419    0.018 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femmesh\meshsetsgetter.py:271(get_constraints_force_nodeloads)
    79081    0.026    0.000    0.026    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\linalg\linalg.py:107(get_linalg_error_extobj)
        5    0.024    0.005    0.024    0.005 {method 'write' of '_io.TextIOWrapper' objects}
    80215    0.024    0.000    0.024    0.000 {method 'astype' of 'numpy.ndarray' objects}
23147/453    0.023    0.000    0.051    0.000 C:\Python38\lib\copy.py:128(deepcopy)
      775    0.023    0.000    0.023    0.000 {built-in method marshal.loads}
    79081    0.023    0.000    0.023    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\linalg\linalg.py:180(_assert_stacked_2d)
    15640    0.023    0.000    0.023    0.000 {method 'format' of 'str' objects}
9449/9078    0.022    0.000    1.152    0.000 C:\Virtual_Environments\theeng\Lib\site-packages\shiboken2\files.dir\shibokensupport\__feature__.py:105(_import)
    79069    0.021    0.000    0.021    0.000 {method 'sort' of 'list' objects}
       23    0.020    0.001    0.662    0.029 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:363(add_disp_apps)
101004/97199    0.020    0.000    0.642    0.000 {built-in method builtins.getattr}
    79146    0.018    0.000    0.018    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
9497/9078    0.018    0.000    1.124    0.000 {built-in method builtins.__import__}
      170    0.016    0.000    0.016    0.000 {built-in method nt.listdir}
     1132    0.015    0.000    0.022    0.000 {built-in method builtins.__build_class__}
1818/1694    0.013    0.000    1.957    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
    79083    0.012    0.000    0.012    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\lib\function_base.py:391(_average_dispatcher)
     1316    0.012    0.000    0.264    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       23    0.012    0.001   36.674    1.595 c:\Virtual_Environments\theeng\lib\site-packages\theeng\algorithms\simulators.py:42(femSimulator)
    79099    0.011    0.000    0.011    0.000 {method 'upper' of 'str' objects}
    79061    0.011    0.000    0.011    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\linalg\linalg.py:1061(_eigvalsh_dispatcher)
       23    0.011    0.000    0.015    0.001 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femsolver\calculix\write_constraint_fixed.py:57(write_meshdata_constraint)
       23    0.010    0.000    0.378    0.016 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femmesh\meshsetsgetter.py:164(get_constraints_fixed_nodes)
        1    0.010    0.010    0.017    0.017 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\util\ref_dirs\reduction.py:11(kmeans)
      775    0.010    0.000    0.562    0.001 <frozen importlib._bootstrap_external>:914(get_code)
     6032    0.010    0.000    0.010    0.000 {built-in method _thread.allocate_lock}
       23    0.009    0.000    0.015    0.001 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femmesh\meshsetsgetter.py:658(get_element_sets_material_and_femelement_geometry)
    79064    0.009    0.000    0.009    0.000 {method 'reverse' of 'list' objects}
      667    0.009    0.000    0.059    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\validation.py:629(check_array)
       69    0.009    0.000    0.009    0.000 {method 'removeObject' of 'App.Document' objects}
       23    0.008    0.000    0.009    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femsolver\calculix\write_constraint_fixed.py:79(write_constraint)
       26    0.008    0.000    0.029    0.001 {built-in method builtins.print}
      782    0.008    0.000    0.008    0.000 {method 'addProperty' of 'App.DocumentObject' objects}
     1999    0.008    0.000    0.011    0.000 {built-in method builtins.max}
      667    0.008    0.000    0.029    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\validation.py:96(_assert_all_finite)
      211    0.008    0.000    0.034    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\preprocessing\_polynomial.py:310(transform)
       50    0.007    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
      138    0.007    0.000    0.007    0.000 {built-in method _thread.start_new_thread}
53252/51784    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    27544    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     2844    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1037    0.007    0.000    0.007    0.000 {built-in method builtins.dir}
 2818/369    0.007    0.000    0.049    0.000 C:\Python38\lib\copy.py:226(_deepcopy_dict)
     6072    0.006    0.000    0.014    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\femutils.py:101(is_derived_from)
    30791    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
       23    0.006    0.000    0.006    0.000 {built-in method nt.mkdir}
    79061    0.006    0.000    0.006    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\feminout\importToolsFem.py:358(<lambda>)
      161    0.006    0.000    0.006    0.000 {method 'getElement' of 'Part.Shape' objects}
        6    0.006    0.001    0.008    0.001 c:\Virtual_Environments\theeng\lib\site-packages\scipy\linalg\_basic.py:1044(lstsq)
       23    0.006    0.000    0.012    0.001 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femmesh\meshtools.py:1280(get_ref_facenodes_areas)
      788    0.006    0.000    0.300    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       23    0.006    0.000    0.014    0.001 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femsolver\calculix\write_constraint_force.py:45(write_meshdata_constraint)
     1550    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      535    0.006    0.000    0.029    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:51(_str_to_dict_path_full)
       69    0.005    0.000    0.005    0.000 {method 'addObject' of 'App.Document' objects}
      447    0.005    0.000    0.005    0.000 {built-in method builtins.min}
6523/6490    0.005    0.000    0.014    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:4893(__setattr__)
    17092    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
      669    0.005    0.000    0.009    0.000 c:\Virtual_Environments\theeng\lib\site-packages\theeng\core\problem.py:217(_expressionEvaluator)
       46    0.005    0.000    0.005    0.000 {built-in method setCurrent}
 2992/669    0.005    0.000    0.031    0.000 C:\Python38\lib\copy.py:200(_deepcopy_list)
     6747    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
      170    0.005    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
  934/715    0.005    0.000    0.249    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:4650(__getitem__)
       23    0.005    0.000    0.391    0.017 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femmesh\meshtools.py:1102(get_force_obj_face_nodeload_table)
2928/1003    0.005    0.000    0.007    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\utils.py:291(split_multichar)
     2844    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      483    0.004    0.000    0.004    0.000 {built-in method _winapi.CloseHandle}
     3008    0.004    0.000    0.610    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\validator_cache.py:8(get_validator)
  918/107    0.004    0.000    0.742    0.007 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:4788(__setitem__)
     2844    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     4632    0.004    0.000    0.005    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femmesh\meshtools.py:2146(get_triangle_area)
     7079    0.004    0.000    0.007    0.000 C:\Python38\lib\codecs.py:373(write)
      645    0.004    0.000    0.066    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\base.py:464(_validate_data)
     1598    0.004    0.000    0.026    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
      781    0.004    0.000    0.028    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     6486    0.004    0.000    0.004    0.000 {method 'isDerivedFrom' of 'Base.BaseClass' objects}
     1012    0.004    0.000    0.018    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femtools\membertools.py:39(get_member)
     3645    0.004    0.000    0.015    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\individual.py:234(get)
  781/706    0.004    0.000    1.641    0.002 <frozen importlib._bootstrap>:650(_load_unlocked)
    35365    0.003    0.000    0.003    0.000 {built-in method builtins.id}
      223    0.003    0.000    0.003    0.000 {method 'factorize' of 'pandas._libs.hashtable.Float64HashTable' objects}
      261    0.003    0.000    0.020    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\population.py:49(get)
  2460/60    0.003    0.000    0.014    0.000 c:\Virtual_Environments\theeng\lib\site-packages\autograd\numpy\numpy_wrapper.py:55(array)
    21818    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
  792/703    0.003    0.000    1.910    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
 2079/318    0.003    0.000    0.006    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:5584(_vals_equal)
     3008    0.003    0.000    0.629    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:4318(_get_validator)
     8680    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
       24    0.003    0.000    0.003    0.000 {method 'close' of '_io.BufferedWriter' objects}
     5920    0.003    0.000    0.004    0.000 C:\Python38\lib\copy.py:242(_keep_alive)
 1171/937    0.003    0.000    0.667    0.001 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\importers.py:23(__getattr__)
     1472    0.003    0.000    0.007    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
      788    0.003    0.000    0.290    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      724    0.003    0.000    0.006    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\validation.py:320(_num_samples)
1719/1669    0.003    0.000    0.913    0.001 C:\Python38\lib\importlib\__init__.py:109(import_module)
     2843    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:58(__init__)
      217    0.003    0.000    0.007    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\utils\extmath.py:156(safe_sparse_dot)
     2843    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(cb)
      781    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     9680    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     7079    0.003    0.000    0.009    0.000 C:\Python38\lib\codecs.py:719(write)
      204    0.003    0.000    0.005    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     3570    0.003    0.000    0.223    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        3    0.003    0.001    0.290    0.097 c:\Virtual_Environments\theeng\lib\site-packages\plotly\io\_html.py:379(write_html)
     4422    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:389(parent)
     2460    0.003    0.000    0.004    0.000 c:\Virtual_Environments\theeng\lib\site-packages\autograd\tracer.py:65(find_top_boxed_args)
 1084/542    0.003    0.000    0.010    0.000 c:\Virtual_Environments\theeng\lib\site-packages\_plotly_utils\utils.py:382(chomp_empty_strings)
     3751    0.002    0.000    0.053    0.000 C:\Python38\lib\encodings\cp1252.py:22(decode)
     1550    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      211    0.002    0.000    0.028    0.000 c:\Virtual_Environments\theeng\lib\site-packages\sklearn\preprocessing\_data.py:974(transform)
      592    0.002    0.000    0.033    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:5162(_set_prop)
     6845    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
1724/1669    0.002    0.000    0.910    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
       23    0.002    0.000    0.011    0.000 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femobjects\result_mechanical.py:43(__init__)
      138    0.002    0.000    0.002    0.000 {built-in method _winapi.CreatePipe}
       29    0.002    0.000    0.004    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\operators\mutation\pm.py:14(mut_pm)
     1192    0.002    0.000    0.003    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\individual.py:127(FEAS)
     1472    0.002    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
       23    0.002    0.000    0.041    0.002 C:\Engineering Programs\FreeCAD 0.20\Mod\Fem\femresult\resulttools.py:37(purge_results)
3983/3446    0.002    0.000    0.014    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:4399(_props)
     4473    0.002    0.000    0.010    0.000 c:\Virtual_Environments\theeng\lib\site-packages\plotly\basedatatypes.py:1802(_str_to_dict_path)
  775/700    0.002    0.000    0.641    0.001 <frozen importlib._bootstrap_external>:842(exec_module)
      229    0.002    0.000    0.006    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\core\population.py:27(set)
3400/2316    0.002    0.000    0.017    0.000 {built-in method _functools.reduce}
      775    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      951    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
       29    0.002    0.000    0.008    0.000 c:\Virtual_Environments\theeng\lib\site-packages\pymoo\operators\crossover\sbx.py:13(cross_sbx)
    11580    0.002    0.000    0.002    0.000 c:\Virtual_Environments\theeng\lib\site-packages\autograd\tracer.py:123(<lambda>)
