,x1,x2,f1,f2,11.1111*x1^2 - 11.1111*x1 + 1,-4.16667*x1^2 + 4.16667*x1 - 1,Score,Efficiency
922,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1000,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1241,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1121,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1402,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1481,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
960,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1280,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1202,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1360,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1082,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1041,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1442,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1160,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
1321,0.8931583780680239,-0.005940939103870394,79.77671830705391,0.011450426934491215,-0.060293270315900926,-0.6023893079328642,0.07346324056091116,False
276,0.33404026956649957,0.3769322616832423,25.366083158970394,0.5855802924567048,-1.4717460601896892,-0.0730935589986077,0.0744218313833451,False
219,0.25064725231979346,-0.3432829218923894,18.066720955843852,0.6793727049188516,-1.086922437790267,-0.21740267715459582,0.07604614968849131,False
270,0.25064725231979346,-0.3432829218923894,18.066720955843852,0.6793727049188516,-1.086922437790267,-0.21740267715459582,0.07604614968849131,False
275,0.25064725231979346,-0.343961890448015,18.11338271760345,0.6798393225364476,-1.086922437790267,-0.21740267715459582,0.07613085423159974,False
272,0.7776006309109804,-0.32343372836233025,70.92721178355123,0.15407085601355158,-0.9215301864437331,-0.2794248830494275,0.07801080442725768,False
172,0.7776006309109804,-0.32343372836233025,70.92721178355123,0.15407085601355158,-0.9215301864437331,-0.2794248830494275,0.07801080442725768,False
86,0.7776006309109804,-0.32343372836233025,70.92721178355123,0.15407085601355158,-0.9215301864437331,-0.2794248830494275,0.07801080442725768,False
128,0.7776006309109804,-0.32343372836233025,70.92721178355123,0.15407085601355158,-0.9215301864437331,-0.2794248830494275,0.07801080442725768,False
221,0.7776006309109804,-0.32343372836233025,70.92721178355123,0.15407085601355158,-0.9215301864437331,-0.2794248830494275,0.07801080442725768,False
314,0.8878886594571967,0.1792710162565072,82.04843688623387,0.04470704994794527,-0.10602542580123497,-0.5852397187566285,0.07852702101926823,False
88,0.7776006309109804,-0.3318544137975701,71.47900931500837,0.15958883132812282,-0.9215301864437331,-0.2794248830494275,0.07901247594646073,False
176,0.7776006309109804,-0.3318544137975701,71.47900931500837,0.15958883132812282,-0.9215301864437331,-0.2794248830494275,0.07901247594646073,False
279,0.7776006309109804,-0.3318544137975701,71.47900931500837,0.15958883132812282,-0.9215301864437331,-0.2794248830494275,0.07901247594646073,False
42,0.7776006309109804,-0.3318544137975701,71.47900931500837,0.15958883132812282,-0.9215301864437331,-0.2794248830494275,0.07901247594646073,False
226,0.7776006309109804,-0.3318544137975701,71.47900931500837,0.15958883132812282,-0.9215301864437331,-0.2794248830494275,0.07901247594646073,False
131,0.7776006309109804,-0.3318544137975701,71.47900931500837,0.15958883132812282,-0.9215301864437331,-0.2794248830494275,0.07901247594646073,False
278,0.33404026956649957,0.4140768180060391,28.304251290206615,0.614961973769067,-1.4717460601896892,-0.0730935589986077,0.07975545317015803,False
44,0.7776006309109804,-0.3432829218923894,72.25059056561311,0.1673046438341703,-0.9215301864437331,-0.2794248830494275,0.08041311824625666,False
1,0.7776006309109804,-0.3432829218923894,72.25059056561311,0.1673046438341703,-0.9215301864437331,-0.2794248830494275,0.08041311824625666,False
91,0.7776006309109804,-0.3432829218923894,72.25059056561311,0.1673046438341703,-0.9215301864437331,-0.2794248830494275,0.08041311824625666,False
230,0.7776006309109804,-0.3432829218923894,72.25059056561311,0.1673046438341703,-0.9215301864437331,-0.2794248830494275,0.08041311824625666,False
179,0.7776006309109804,-0.3432829218923894,72.25059056561311,0.1673046438341703,-0.9215301864437331,-0.2794248830494275,0.08041311824625666,False
135,0.7776006309109804,-0.3432829218923894,72.25059056561311,0.1673046438341703,-0.9215301864437331,-0.2794248830494275,0.08041311824625666,False
218,0.33404026956649957,0.4274943939112301,29.433435851758972,0.6262538193845906,-1.4717460601896892,-0.0730935589986077,0.08180524852216686,False
174,0.33404026956649957,0.4274943939112301,29.433435851758972,0.6262538193845906,-1.4717460601896892,-0.0730935589986077,0.08180524852216686,False
224,0.33404026956649957,0.4293808837237948,29.595084499948666,0.6278703058664875,-1.4717460601896892,-0.0730935589986077,0.08209868739744003,False
277,0.3603224121765955,0.4421113527278171,32.529468892758075,0.6046498645743896,-1.5609993441073735,-0.03962351728344882,0.08273751011111258,False
233,0.7776006309109804,-0.3656038922299716,73.83289472068594,0.18312768538489865,-0.9215301864437331,-0.2794248830494275,0.08328545622621777,False
175,0.7302684888477957,0.4128875477708831,70.37681929082964,0.24323121521270497,-1.18862473408144,-0.17926424739628732,0.0854542901203689,False
227,0.7302684888477957,0.4128875477708831,70.37681929082964,0.24323121521270497,-1.18862473408144,-0.17926424739628732,0.0854542901203689,False
